,feature,importance
9,pm2_5,0.5112263075064227
10,pm10,0.2773380215678437
5,co,0.06540067346622501
6,no2,0.05603811906606463
2,wind_speed,0.05319353414883623
7,o3,0.012246377948746548
4,clouds,0.006939893592400153
1,humidity,0.006735841191223039
16,humidity_rolling_mean_6h,0.0038969623045530437
8,so2,0.003281079149358932
3,pressure,0.002788304058914009
15,temperature_rolling_mean_6h,0.0005044490855154171
0,temperature,0.0004104369138965623
13,month,0.0
14,is_weekend,0.0
12,day_of_week,0.0
11,hour,0.0
17,aqi_lag_1h,0.0
18,aqi_lag_3h,0.0
19,aqi_lag_6h,0.0
