,feature,importance
9,pm2_5,0.2842421278439315
10,pm10,0.26154108919523
5,co,0.11898979907979991
6,no2,0.07836686680267338
2,wind_speed,0.06192256491273468
8,so2,0.04770663003396594
4,clouds,0.03455303719069284
7,o3,0.03243808374840043
3,pressure,0.024703444820616722
17,aqi_lag_1h,0.01782850403845384
0,temperature,0.012499629986205019
16,humidity_rolling_mean_6h,0.011752607776001702
15,temperature_rolling_mean_6h,0.006621970651573623
1,humidity,0.006459812144019512
11,hour,0.00037383177570093527
12,day_of_week,0.0
13,month,0.0
14,is_weekend,0.0
18,aqi_lag_3h,0.0
19,aqi_lag_6h,0.0
