,feature,importance
9,pm2_5,0.3087028481065635
10,pm10,0.20493472378178101
2,wind_speed,0.0875153196257835
5,co,0.08081078181121801
8,so2,0.0758288160886989
6,no2,0.05926314374146364
16,humidity_rolling_mean_6h,0.05787490173768671
0,temperature,0.04421644433358989
7,o3,0.029017212511027297
15,temperature_rolling_mean_6h,0.024060942514214586
4,clouds,0.014525558933691844
1,humidity,0.007077210756736671
3,pressure,0.00463126686843005
17,aqi_lag_1h,0.0008059210526315849
11,hour,0.0007349081364829446
12,day_of_week,0.0
13,month,0.0
14,is_weekend,0.0
18,aqi_lag_3h,0.0
19,aqi_lag_6h,0.0
